id,text,ASSALTO,ROUBO,FURTO,ASSEDIO,SPUBLICA,HOMICIDIO,OUTRO,CRIME,KEYWORD,LOCAL
62,todos dias passo avenida paulista todos dias vejo furtos mesma hoje vi triplo furto tres homens bicicleta furtaram tres pessoas altura casa rosas todos mochila ifood,0,0,1,0,0,0,0,1,1,1
63,pizzaria localizada bairro dirceu arcoverde zona sudeste teresina alvo assalto noite tercafeira 9 acesse,1,0,0,0,0,0,0,1,1,1
64,fc p vida mn fico pensando assedios mulher sofre rua vejo quanto pavor disso nojo homens so aumenta invasao comum decadente extremamente absurdo,0,0,0,1,0,0,0,1,1,0
65,parceiro agente dorme bebado canto praca ta sujeito roubado furtado imagino pouco diferente vitima estupro inclusive bem,0,0,0,0,1,0,0,1,1,0
66,vi lembreime gajo roubaram garrafa tentou roubar moedas caixa senhora gatos pede dinheiro rua santa catarina alguem parou triste ia garrafa igual,0,1,0,0,0,0,0,1,1,1
67,hoje cunhado celular roubado engarrafamento bem frente central flagrantes policia civil bahia plena avenida acm 1250 sol pino pire ai,0,1,0,0,0,0,0,1,1,1
68,moro centro anos nunca assaltada ja assaltada 3 vezes periferia onde nasci bairro classe media aqui nunca dados nao valem nada,1,0,0,0,0,0,0,1,1,0
69,nunca assaltada bairro luxuoso rj pergunte mora pavuna bangu benfica,1,0,0,0,0,0,0,1,1,1
70,papo reto deve bom andar rua menor medo assaltado,0,0,0,0,1,0,0,1,1,0
71,fato quase ter sofrido golpe cartao hoje sair pra tentar resolver mercado bairro naquelas maquinas assediada caminho k,0,0,0,1,0,0,0,1,1,0
72,homem preso iphone furtado mulher blumenau fato aconteceu noite desta segundafeira 3001 bairro itoupava norte inscrevase youtubecomoblumenauense,0,0,1,0,0,0,0,1,1,1
73,furto botafogo quatro homens furtaram produtos loja rua voluntarios patria botafogo zona sul rio caso aconteceu comeco tarde ultimo dia 9 grupo aproveitou movimentacao clientes agir durante dia comercios regiao,0,0,1,0,0,0,0,1,1,1
74,dp favor ajude encontrar moto esposo furtada dentro garagem bairro itaim paulista madrugada dia 1511,0,0,1,0,0,0,0,1,1,1
75,tadinho ne quantos gays apanharam pais pra aprenderem virar homem alem disso apanharam rua serem qm sao vamos analisar onde vem preconceito ne so porque queridinho pq algm nao gostassem iam subindo homofobia crime,0,0,0,0,0,0,1,1,1,0
76,policia civil prende homem sapucaia sul contra individuo havia mandado prisao preventiva crime estupro prisao ocorreu bairro sao jose volante1dprm,0,0,0,1,0,0,0,1,1,1
77,medo ban antigamentetm tirava celular rua tame foto onde passando hora meio rendeu fotos maravilhosas bela terra pena mana assaltada 2x meio ta insalubre agora ne,1,0,0,0,0,0,0,1,1,0
78,adolescente 17 anos esfaqueado momento tentava fugir assalto noite desta quinta 9 rua itajai bairro novo aleixo zona leste manaus populacao revoltada espancou criminosos morreu,1,0,0,0,0,0,1,1,1,1
79,diante disso monte terrorista sangue nozoio andando ai nao aconselho ninguem sair pra rua feriado pode outra armadilha inglaterra estao prendendo batendo manifestantes nacionalistas dando liberdade ataques faca ilegais nao acredito bom momento manifestacoes mundo guerra garante havera policia defesa caso atacados,0,0,0,0,0,0,0,0,1,1
80,video mostra carro transportando cama furtada loja moveis av28 marco 240123 policia publica imagens reconhecimento veiculouma cama furtada loja moveis rusticos nesta tercafeira 24 avenida 28 marco area central campos,0,0,1,0,0,0,0,1,1,1
81,suspeito roubo comercio preso bairro pg prisao aconteceu nesta segundafeira 09 bairro caracara faca tambem apreendida leia,0,1,0,0,0,0,0,1,1,1
82,genocidio curso fontes al jazeera live dezenas martires feridos violentos ataques israelenses contra pessoas deslocadas membros defesa civil rua alnafaq cidade gaza gaza,0,0,0,0,0,0,0,0,1,1
83,pra ir correr aqui bairro agora nesse horario vou sofrer uns assedios entao vou tomar banho,0,0,0,1,0,0,0,1,1,0
84,balancogeralrj tino copacabana vira bairro perigoso domingos sol viaturas ficam baseadas orla assaltos ruas internas,1,0,0,0,0,0,0,1,1,1
85,bom dia poderia publicar umas imagens cameras seguranca favor madrugada dia 2805 dois meliantes roubaram fios luz relogios light avenida fernando ferrari frente deposito madeiras agostinho vila rosario duque caxias,0,1,0,0,0,0,0,1,1,1
86,deveria ter sido presa cacou brasileiro rua arma punhos nao faltam provas contra contra golpe tentou armar todos ataques fez democracia instituicoes pais,0,0,0,0,0,0,0,0,1,0
87,jovem celular furtado ontem enquanto sofreu acidente transito bairro sao marcos ja aparelho recuperado tarde hoje sabado19 progrestino,0,0,1,0,0,0,0,1,1,1
88,ocorrencia 2501 12h58 transporte,0,0,0,0,0,0,0,0,1,0
89,moco roubaram playlist todo mundo odeia p cris botaram nessa praca,0,0,0,0,0,0,0,0,1,0
90,equipe riomaisseguro deteve nesta quinta 12 mulher praca serzedelo correa copacabana agentes localizaram suspeita reconhecida vitima autora furto celular praia,0,0,1,0,0,0,0,1,1,1
91,peguei metro lotado presenciei assalto frente destratada atendente loja doido praca veio falar comigo meio experiencia completa paulista,1,0,0,0,0,0,0,1,1,0
92,tava voltando mequi perto onde moro bairro seguro nunca vi nada la nada assalto pq muita fabrica casa entao la meio deserto ate cara nada surge atras mim namorado ate ai tudo bem tava olhando pra tras toda hora ne p1,0,0,0,0,1,0,0,1,1,0
93,praca simon bolivar bogota ainda periodo governo dilma gente condicoes viajar li seguinte frase pao pobre paz rico solidariedade total classe trabalhadora assaltada ultimos anos continua firme,0,0,0,0,0,0,0,0,1,1
94,registro visual ataque aereo israelense reportado agora gaza pontos ligados hamasbrigadas alqassam jihad islamica palestinabrigadas alquds bairro zaytoun atualizacao,0,0,0,0,0,0,0,0,1,1
95,assedio social bairro vila cloris bh mg favelas ghettos crimes organizados sertanejos ja tentando manipular caminhoes carretas assediando bloqueando,0,0,0,0,0,0,0,0,1,1
96,feliz ano novo boa noite vou ver fogos praca perto show espero nao assaltada deus livre,0,0,0,0,1,0,0,1,1,0
97,sobrinho 14 anos assaltado hoje saida escola realengo praca canhao pra nao rj local quartel militar cheio soldados ali ta foda,1,0,0,0,0,0,0,1,1,1
98,ataque israelense gaza arrasa bairro inteiro autoridades palestinas dizem ataques aereos israelenses indiscriminados gaza destruiram 22600 unidades residenciais 10 instalacoes saude the cradle,0,0,0,0,0,0,0,0,1,1
99,arranjar trabalho ano vem nao sei andar rua direito assaltada,0,0,0,0,1,0,0,1,1,0
100,coe glr roubaram bike curvinha itapua ali avenida gil veloso vila velha eh preta meio descascada guidao eh prateado tambem descascado detalhes azuis rodas algum vir ai salve fznd favor,0,1,0,0,0,0,0,1,1,1
101,dois rapazes assaltaram posto universitario avenida morangueira final manha desta tercafeira fbme7tqafxgzt,1,0,0,0,0,0,0,1,1,1
102,mae contando rapaz aqui bairro roubou loja materiais construcao nao queria pagar carreto dono cobrou respeitem regras normas roubo favor,0,0,0,0,0,0,0,0,1,0
103,venti chapeu pq furtado praca purificacao,0,0,1,0,0,0,0,1,1,0
104,assaltaram menino pertinho rua,1,0,0,0,0,0,0,1,1,0
105,jurei escolher fazer estagio vila penha tranquilo ai quinta arrastao praca onde fica escola barraquinhas estao cheias marca bala ontem outra estagiaria assaltada lado escola,1,0,0,0,0,0,0,1,1,1
106,celular furtado avenida estado ponto estrategico semaforo pra crianca pegar atravessar via passarela correr pra favela glicerio parabens brunocovas seguranca cidade sp ta excelente inclusive farois regiao tao perigosa,0,0,1,0,0,0,0,1,1,1
107,pneu carreta mercado livre furtado moradores bairro bom destino santa luzia anunciado olx r 2 mil,0,0,1,0,0,0,0,1,1,1
108,descoberto furto energia bairro vila nobre paulo afonso guarda civil municipal acionada ja tomou devidas medidas saiba portal chicosabetudo furtodeenergia pauloafonso guardacivilmunicipal,0,0,1,0,0,0,0,1,1,1
109,roubaram celular mae hoje manha lutou bandido passa bem braba irmao compramos celular novo pra nao junto fez merda configuracao brigamos telefone jeito avenida inteira ouviu,0,1,0,0,0,0,0,1,1,0
110,velho juro pedi pra m ex levar pra casa pq infelizmente mulher apesar trabalho bairro casa nao trabalho ai blz desgracado deixou ir sozinha assediada umas 2 vezes quase correndo sinceramente viu,0,0,0,1,0,0,0,1,1,0
111,videos descontextualizados pessoas aleatorias pessoas rua milhares quilometros festejar ataques,0,0,0,0,0,0,0,0,1,0
112,ontem bairro virou night club cemig comecou tarde luz falei atendimento disseram incidente bairro ja sera resolvido voltou passa tempinho apagao volta seguida apaga tempo volta umas 6x ultima demorou p voltar vela,0,0,0,0,0,0,0,0,1,0
113,pcrr prende flagrante acusados crimes furto receptacao bairro cacari,0,0,1,0,0,0,1,1,1,1
114,bandidos roubam carros santa felicidade levam pior tarde desta quinta 02 quatro homens assaltaram revenda carros avenida manoel ribas bairro santa felicidade curitiba,0,1,0,0,0,0,0,1,1,1
115,2 ja declarou contra campanha fiufiu nao porque assediada pedreiro faria sentir bonita so mudou ideia soube filha amiga medo sair rua devido assedios,0,0,0,1,0,0,0,1,1,0
116,claro porque agredir mulher idoso nao ataque relaxa pode ate nao considerar mulher humano achar ok bater ne talvez dia maria penha leve ate la bom nao dar bobeira rua,0,0,0,0,0,0,0,0,1,0
117,agencia banco santander furtada avenida mogiana bitly2jqzjd6,0,0,1,0,0,0,0,1,1,1
118,caminhao roubado recuperado policia militar pavuna zona norte rio manha desta sexta 14 acordo dp equipe patrulhamento suspeitou veiculo entrava comunidade ficap avenida coronel phidias tavora bandnews fm,0,1,0,0,0,0,0,1,1,1
119,ba cara pode sentar p respirar praca assediada ti fude,0,0,0,1,0,0,0,1,1,0
120,toda vez passo bairro arabes pra comprar carne assediada,0,0,0,1,0,0,0,1,1,0
121,crime aconteceu 30 outubro 2020 durante policiamento montado praca coronel diogenes suspeita automovel sendo utilizado pratica furtos residencia,0,0,1,0,0,0,0,1,1,1
122,atencao p noticia van dp pmerj roubada policial feito refem zona norte dp rendido criminosos moto obrigado dirigir ate comunidade tuiuti rio van alugada policia militar roubada rua capitao felix benfica zona norte rio neste sabado 21 acao dois suspeitos armados motocicleta abordaram dp obrigaram seguir ate barreira vasco mesma regiao agente 3aupp4obpm sao cristovao cumpria ordem servico surpreendido criminosos anunciaram assalto entanto veiculo roubado apenas chegar destino final apos assalto dp liberado pegou onibus ate avistar viatura policial nao ficou ferido encaminhado ate coordenadoria nota corporacao informou veiculo descaracterizado havia sido alugado acao projeto social upp policial liberado sofrer qualquer ferimento policiamento reforcado regiao ocorrencia registrada 17a dp sao cristovao comunicou rio nao amadores,0,1,0,0,0,0,0,1,1,1
123,barra mansa registra pontos alagamento apos chuva maior parte incidentes registrados bairro ano bom distritos rialto amparo cidade bandnewsfm,0,0,0,0,0,0,0,0,1,1
124,praca centro sao paulo alvo frequente roubos furtos moradores comecaram flagrar crimes gritar ajudar vitimas saiba youtubecombrbandjornalism bandnews centro sp roubo furto,0,1,1,0,0,0,0,1,1,1
125,deu ruim 9 furtos alguns registro 100 mil pessoas praca estacao plena segunda,0,0,1,0,0,0,0,1,1,0
126,demais vira ali ta relogio central meio maratona avenida so aparece rjtv furtos caos maratona olimpica,0,0,1,0,0,0,0,1,1,0
127,agora faz tres anos moro bairro classe media regiao vila mariana ja assaltado duas vezes kkkkry,1,0,0,0,0,0,0,1,1,1
128,agentes guarda civil municipal recuperaram motocicleta furtada devolveram vitima equipe realizava patrulhamento preventivo rua francisco xavier passos vila sao jorge deparou individuo empurrando moto maneira suspeita,0,0,1,0,0,0,0,1,1,1
129,furto veiculo furtaram noite desta quinta veiculo fiat uno proximidades shopping avenida cent bitly1si8rpz,0,0,1,0,0,0,0,1,1,1
130,visse filho video desse roubando pessoas soubesse participando todos roubos tendo usando drogas ficando rua 9 dias ainda dizer cr pra vida violento pessoas iria fazer leva psicologo,0,1,0,0,0,0,0,1,1,0
131,nao sei voces to maluco fato faltam so 3 meses pro desfile agora negocio vai comecar esquentar contagem regressiva ta aberta dia 03022024 partir 13h local ja sabe rua senador furtado vamo vamo butanonabureta2024,0,0,0,0,0,0,0,0,1,1
132,coelho neto pra ve rua avenida brasil uns 2 assaltos dia mudo nome pra fiat uno risada,1,0,0,0,0,0,0,1,1,1
133,ja vi esquema roubo epidemico avenida paulista funciona assim pivete vem rouba celular outra coisa joga objeto roubo nessas barracas espalhadas policial ve acontecendo nao pode revistar barraca morador rua senao fascista,0,1,0,0,0,0,0,1,1,1
134,assembleia estadual professores 20 outubro paralisacao fim assedio moral 16 horas praca republica,0,0,0,0,0,0,0,0,1,1
135,morador situacao rua morto facadas jardim penha suspeito detido disse ja sido roubado vitima caso aconteceu avenida dante michelini noite domingo 12,0,1,0,0,0,1,0,1,1,1
136,motocicleta roubada bairro vila pinto varginha varginha via varginhaonline,0,1,0,0,0,0,0,1,1,1
137,roubo amor deus burro faz fala ai roubo contra avenida,0,0,0,0,0,0,0,0,1,0
138,cidade caso tentativa furto registrado madrugada desta segundafeira 4 dezembro avenida vital brasil saiba,0,0,1,0,0,0,0,1,1,1
139,redes sociais casos assedios igrejas hospitais escolas casa creches ate rua voce so demoniza pq aprendeu generalizar qualquer crime ocorra igreja bolha aqui,0,0,0,1,0,0,0,1,1,0
140,roubada pq burra voce ja mora tempo sp pegou malicia rua voce nao vai roubado 21 aninhos morando periferia nunca roubada ate indo pro centro,0,1,0,0,0,0,0,1,1,1
141,nao falou favelado falou bandidos comandam trafego voces esqueceram aconteceu vou tim lopes esqueceram populacao rio sofre todos dias balas perdidas trens assaltos onibus tiroteios avenida brasil linha vermelha canalhas,0,0,0,0,1,0,0,1,1,1
142,dentro favela nao roubo moca rio janeiro sim inseguro moca certa falar muitos arrastoes nao passam histeria branco rj sim inseguro voce ficar bobeira celular mao sera assaltada qualquer bairro,0,0,0,0,1,0,0,1,1,1
143,reporter entra vivo avenida paulista cara ja sofre tentativa assalto brincadeira globo encontro,1,0,0,0,0,0,0,1,1,1
144,onde nao assaltado emrua europeia ver pensamentos pasteur outro cientista europeu lancou primeiro odiar europeu mandou nao assaltado etc,1,0,0,0,0,0,0,1,1,0
145,vivo balancogeral cameras seguranca flagram ataques criminosos bairro zona sul sp assista sigaplayplus playpluscom,0,0,0,0,0,0,1,1,1,1
146,rt suspeitos assaltaram lanchonete avenida ataulfo paiva seguranca rua trocou tiros suspeitos ninguem feriu,1,0,0,0,0,0,0,1,1,1
147,concluido inquerito incidentes bairro jamaica dois processos disciplinares dlvritr1pd28,0,0,0,0,0,0,0,0,1,1
148,qnt assedio rolou naql lugar ontempor nao gosto ir nesses eventos bairro so consideracao,0,0,0,1,0,0,0,1,1,0
149,espanha vizinhos bairro isleta la palma fazem panelaco porta dum centro acolhimento imigrantes sinal protesto fartos violencia roubos agora acontece vizinhanca voce acha boa ideia fazer tambem ca nao chega fogo,0,0,0,0,0,0,0,0,1,1
150,cabra macho bairro ate incidente especifico fez adquirir ansiedade,0,0,0,0,0,0,0,0,1,0
151,amostra favela santa marta desse bairro tbm assalto todo dia risada ko diferenca botafogo so bairro,0,0,0,0,1,0,0,1,1,1
152,gm prende suspeito cometer furtos cabos energia avenida sete setembro curitiba xvcuritiba,0,0,1,0,0,0,0,1,1,1
153,filho policial militar 31 anos celular roubado noite desta quinta 19 frente residencia bairro jk zona leste porto velho acordo relato policial militar dentro casa escutou,0,1,0,0,0,0,0,1,1,1
154,hoje tava catando flor rua vinha 2 caras moto buquezinho flor mao acho mim nao assaltaram,0,0,0,0,1,0,0,1,1,0
155,absurdo virou copacabana bairro parece largado todo mundo sabe praia famosa brasil perigosa cheia assaltos chega vergonhoso,0,0,0,0,1,0,0,1,1,1
156,imagem ilustrativa misterioe real relato cheganos benguela bairro capira onde jovem vinte anos morreu noite ultima sexta 6 alegadamente ter furtado valores monetarios balaio pedinte esmola centro cidade,0,0,0,0,0,1,0,1,1,1
157,parte ruim pular carnaval rua medo furtada,0,0,0,0,1,0,0,1,1,0
158,condutores estao cobrando policiamento trecho rua floriano peixoto proximo praca curio bairro nova imperatriz motociclista relatou ter sido vitima tentativa assalto enquanto caminho trabalho 4h30 acordo vitima homem armado escondido area mata saltou frente moto motociclista conseguiu desviar escapar assaltante lucas aquino,1,0,0,0,0,0,0,1,1,1
159,1 pt tomei askov frutas vermelhas todinha sozinha virei corotinho azul umas skol beats pra conta desmaiei proprio vomito plena praca republica foto role porque furtaram celular enquanto,0,0,1,0,0,0,0,1,1,0
160,pois achei roubo aqui rio compro 10 reais 500ml caipirinha sp pinheiros naquela rua monte bar paguei 10 reais caipirinha 500ml estrutura melhor bar ai foto,0,0,0,0,0,0,0,0,1,1
161,roubo cabeca piru penalti pra caralho mrm avenida felipe luiz,0,0,0,0,0,0,0,0,1,0
162,aqui vancouver governo distribui drogas viciados quantidade homeless aumentou significativamente tambem violencia roubos furtos estupros aqui avenida cracolandia gigante ainda assim ta bem longe brasil,0,0,0,0,1,0,0,1,1,1
163,pelotas registra primeiro homicidio ano crime ocorreu nesta quinta 4 bairro areal vitima homem 50 anos morto tiros residencia saiba detalhes caso,0,0,0,0,0,1,0,1,1,1
164,nao pode andar bairro medo assaltadafurtadaassediada,0,0,0,0,1,0,0,1,1,0
165,policia investigando criminosos entraram confronto policia militar joao lisboa madrugada hoje 13 sao mesmos invadiram loja celulares bairro bacuri imperatriz roubaram 40 aparelhos celulares alem joias dinheiro confronto policia ocorreu apos dupla localizada cometer assalto fugir carro mesmas caracteristicas veiculo utilizado roubo imperatriz troca tiros resultou morte bandidos identificado bebezao policial baleado outro criminoso preso,0,1,0,0,0,0,0,1,1,1
166,assalto linha amarela saida pilares sentido avenida brasil rio janeiro nao amadores,1,0,0,0,0,0,0,1,1,1
167,hora estacionar carinha ameacou dizendo pagar pra parar carro rua pq tabelado deu entender faccao dps qnd comprar pipoca assaltaram levaram 7 reais,1,0,0,0,0,0,0,1,1,0
168,amoedo praca seca fechou portas epoca comandante rogerio figueiredo passou ate record cidade alerta rj gente ja sabia amoedo praca seca fechou portas causa milicia epoca roubos mes semana muita gente ficou desempregado,0,1,0,0,0,0,0,1,1,1
169,cada vez dificil andar ruas havana frequentar lugares publicos assedio sempre educado enorme falam segundo sol nuevo sol dona pedaco dulce ambicion claro avenida brasil ontem tirei trocentas fotos,0,0,0,1,0,0,0,1,1,1
170,ta ai gostei unico lugar pais assaltado 8 caras 9 armas 1 colete radio comunicacao hora nao sabia bandido policia civil assustador tirando cheiro urina lapa inteira avenida moradores rua dormindo relento,1,0,0,0,0,0,0,1,1,1
171,mesma logica assalto favela perde mao vida assaltar morador bairro rico totalmente ignorado danese pois logica rico nao merece logo justo roubar,0,0,0,0,1,0,0,1,1,0
172,sensacao inseguranca nunca tao grande cidade toda semana pessoa diferente trabalho assaltada olha firma fica bairro nobre,1,0,0,0,1,0,0,1,1,0
